Country/Region,Confirmed,Deaths,Recovered,Active,New cases,WHO_Region,Mortality_Rate,Recovery_Rate
Brazil,2442375,87618,1846641,508116,23284,Americas,3.5874097957930293,75.60841394134808
Chile,347923,9187,319954,18782,2133,Americas,2.640526783225024,91.96115232393375
Colombia,257101,8777,131161,117163,16306,Americas,3.4138334740043796,51.01535972244371
Bangladesh,226225,2965,125683,97577,2772,South-East Asia,1.310642059896121,55.5566360923859
Argentina,167416,3059,72575,91782,4890,Americas,1.827184976346347,43.35009795957376
Canada,116458,8944,0,107514,682,Americas,7.68002198217383,0.0
China,86783,4656,78869,3258,213,Western Pacific,5.365106069161011,90.88070244172246
Bolivia,71181,2647,21478,47056,1752,Americas,3.718688975990784,30.173782329554232
Belarus,67251,538,60492,6221,119,Europe,0.7999881042661077,89.94959182763081
Belgium,66428,9822,17452,39154,402,Europe,14.785933642439936,26.272053953152287
Bahrain,39482,141,36110,3231,351,Eastern Mediterranean,0.3571247657160225,91.45939921989768
Armenia,37390,711,26665,10014,73,Europe,1.901577962021931,71.31585985557636
Afghanistan,36263,1269,25198,9796,106,Eastern Mediterranean,3.499434685492099,69.48680473209608
Azerbaijan,30446,423,23242,6781,396,Europe,1.389345069959929,76.33843526243184
Algeria,27973,1163,18837,7973,616,Africa,4.1575805240767885,67.33993493726092
Austria,20558,713,18246,1599,86,Europe,3.46823620974803,88.75376982196713
Cameroon,17110,391,14539,2180,402,Africa,2.2852133255406195,84.97369959088252
Costa Rica,15841,115,3824,11902,612,Americas,0.7259642699324538,24.139890158449592
Cote d'Ivoire,15655,96,10361,5198,59,Africa,0.613222612583839,66.18332801022038
Australia,15303,167,9311,5825,368,Western Pacific,1.0912892896817616,60.84427889956218
Bulgaria,10621,347,5585,4689,194,Europe,3.267112324639864,52.584502400903865
Bosnia and Herz,10498,294,4930,5274,731,Other,2.8005334349399886,46.96132596685083
Congo (Kinshasa,8844,208,5700,2936,13,Other,2.3518769787426503,64.45047489823608
Croatia,4881,139,3936,806,24,Other,2.8477770948576113,80.63921327596803
Albania,4880,144,2745,1991,117,Europe,2.9508196721311477,56.25
Central African R,4599,59,1546,2994,0,Other,1.2828875842574472,33.616003479017174
Congo (Brazzavi,3200,54,829,2317,162,Other,1.6875,25.906249999999996
Cuba,2532,87,2351,94,37,Americas,3.4360189573459716,92.85150078988941
Cabo Verde,2328,22,1550,756,21,Africa,0.9450171821305842,66.5807560137457
Benin,1770,35,1036,699,0,Africa,1.977401129943503,58.53107344632769
Burkina Faso,1100,53,926,121,14,Africa,4.818181818181818,84.18181818181819
Angola,950,41,242,667,18,Africa,4.315789473684211,25.473684210526315
Chad,922,75,810,37,7,Africa,8.134490238611713,87.85249457700651
Andorra,907,52,803,52,10,Europe,5.733186328555679,88.53362734288865
Botswana,739,2,63,674,53,Africa,0.2706359945872801,8.525033829499323
Bahamas,382,11,91,280,40,Americas,2.8795811518324608,23.82198952879581
Burundi,378,1,301,76,17,Africa,0.26455026455026454,79.62962962962963
Comoros,354,7,328,19,0,Other,1.977401129943503,92.65536723163842
Burma,350,6,292,52,0,South-East Asia,1.7142857142857144,83.42857142857143
Cambodia,226,0,147,79,1,Western Pacific,0.0,65.04424778761062
Brunei,141,3,138,0,0,Western Pacific,2.127659574468085,97.87234042553192
Barbados,110,7,94,9,0,Americas,6.363636363636363,85.45454545454545
Bhutan,99,0,86,13,4,South-East Asia,0.0,86.86868686868688
Antigua and Barb,86,3,65,18,4,Americas,3.488372093023256,75.5813953488372
Belize,48,2,26,20,0,Americas,4.166666666666666,54.166666666666664
